Player Name,Photo URL
Samuel Chukwueze,https://cdn.sofifa.net/players/246/172/24_120.png
Youssouf Fofana,https://cdn.sofifa.net/players/245/630/24_120.png
Jean-Clair Todibo,https://cdn.sofifa.net/players/245/388/24_120.png
Thiago Almada,https://cdn.sofifa.net/players/245/371/24_120.png
Mohammed Kudus,https://cdn.sofifa.net/players/245/155/24_120.png
Santiago Giménez,https://cdn.sofifa.net/players/245/152/24_120.png
Amir Rrahmani,https://cdn.sofifa.net/players/244/263/24_120.png
Mohamed Simakan,https://cdn.sofifa.net/players/243/854/24_120.png
Jonathan David,https://cdn.sofifa.net/players/243/630/24_120.png
Armand Laurienté,https://cdn.sofifa.net/players/243/593/24_120.png
Eljif Elmas,https://cdn.sofifa.net/players/241/390/24_120.png
Pepê,https://cdn.sofifa.net/players/238/896/24_120.png
Kevin Danso,https://cdn.sofifa.net/players/237/985/24_120.png
Juan Foyth,https://cdn.sofifa.net/players/237/221/24_120.png
Facundo Medina,https://cdn.sofifa.net/players/236/804/24_120.png
Martin Terrier,https://cdn.sofifa.net/players/236/786/24_120.png
David Neres,https://cdn.sofifa.net/players/236/632/24_120.png
Yves Bissouma,https://cdn.sofifa.net/players/236/480/24_120.png
Sebastian Szymański,https://cdn.sofifa.net/players/235/973/24_120.png
Eberechi Eze,https://cdn.sofifa.net/players/235/794/24_120.png
Harvey Barnes,https://cdn.sofifa.net/players/234/742/24_120.png
Diogo Dalot,https://cdn.sofifa.net/players/234/574/24_120.png
Zubeldia,https://cdn.sofifa.net/players/233/738/24_120.png
Mason Mount,https://cdn.sofifa.net/players/233/064/24_120.png
Wataru Endo,https://cdn.sofifa.net/players/232/487/24_120.png
Fredrik Aursnes,https://cdn.sofifa.net/players/231/913/24_120.png
Javi Galán,https://cdn.sofifa.net/players/231/591/24_120.png
Tammy Abraham,https://cdn.sofifa.net/players/231/352/24_120.png
